Hafta,Gün,Kanal,Format,Konu,CTA,Not
1,Pazartesi,LinkedIn,Metin post,"E-tebligat kontrolünü manuel yapmak neden yoğun dönemlerde riskli?","14 gün ücretsiz deneyebilirsiniz.","Problem odaklı başlangıç"
1,Çarşamba,YouTube Shorts + LinkedIn Video,Kısa demo,"Muhasebe Asistanı nedir? 60 saniyelik genel akış","Demo videosunu yorumlara bırakıyorum.","Temel demo"
1,Cuma,LinkedIn,Checklist,"Mali müşavirler için haftalık e-tebligat kontrol listesi","Kontrol listesini isteyenlere gönderebilirim.","Kaydedilebilir içerik"
1,Cuma,Blog,SEO yazısı,"E-Tebligat Takibi Nasıl Yapılır?","14 gün ücretsiz deneyin.","Brief 1"
2,Pazartesi,LinkedIn,Metin post,"5-50 mükellefli bürolarda en çok zaman kaybettiren 3 rutin iş","Kurulumda destek isterseniz mesaj atabilirsiniz.","ICP odaklı"
2,Çarşamba,YouTube Shorts + LinkedIn Video,Kısa demo,"Bir banka ekstresini Excel'e dönüştürme","14 gün ücretsiz deneyebilirsiniz.","Excel Asistanı"
2,Cuma,LinkedIn,Doküman post,"Banka ekstresi düzenlerken kontrol edilmesi gereken sütunlar","Demo videosunu yorumlara bırakıyorum.","Pratik rehber"
2,Cuma,Blog,SEO yazısı,"Banka Ekstresi Excel'e Nasıl Çevrilir?","14 gün ücretsiz deneyin.","Brief 2"
3,Pazartesi,LinkedIn,Metin post,"Veri cihazınızda kalınca muhasebe bürosu için ne değişir?","Kurulumda destek isterseniz mesaj atabilirsiniz.","Güven mesajı"
3,Çarşamba,YouTube Shorts + LinkedIn Video,Kısa demo,"E-tebligat tarama ekranı: mükellef bazlı takip","14 gün ücretsiz deneyebilirsiniz.","E-Tebligat"
3,Cuma,LinkedIn,Checklist,"Denemeye başlayan büronun ilk gün yapması gereken 5 şey","İsterseniz birlikte kurulum yapabiliriz.","Onboarding"
3,Cuma,Blog,SEO yazısı,"Mali Müşavirler İçin Otomasyon Araçları","14 gün ücretsiz deneyin.","Brief 3"
4,Pazartesi,LinkedIn,Metin post,"Manuel e-tebligat takibinde kaçan küçük işler nasıl büyür?","E-tebligat modülünü birlikte test edebiliriz.","Risk anlatımı"
4,Çarşamba,YouTube Shorts + LinkedIn Video,Kısa demo,"PDF/CSV/Excel dosyasında şablonla dönüşüm örneği","Demo videosunu yorumlara bırakıyorum.","Excel şablon"
4,Cuma,LinkedIn,Doküman post,"Haftalık e-tebligat kontrol listesi: 10 madde","Kontrol listesini isteyenlere gönderebilirim.","Kaydedilebilir içerik"
